model,fold,system,pair_id,construct_i,construct_j,true_direction,predicted_direction,probability_i_gt_j,probability_j_gt_i,pairwise_margin,correct,literature_prior_logit,unordered_pair_counted_once
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GI-DAE,GIDAE_PAIR_03,GIDAE_T01,GIDAE_T04,1,-1,0.12488316775363976,0.8751168322463603,0.7502336644927204,False,-1.420716422242209,True
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GI-DAE,GIDAE_PAIR_04,GIDAE_T02,GIDAE_T03,-1,-1,0.2154907574480124,0.7845092425519876,0.5690184851039752,True,-0.5413236220073945,True
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GI-DAE,GIDAE_PAIR_05,GIDAE_T02,GIDAE_T04,1,-1,0.2590239791811593,0.7409760208188407,0.48195204163768135,False,-0.9810200221248018,True
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GI-DAE,GIDAE_PAIR_06,GIDAE_T03,GIDAE_T04,1,1,0.5599829130527388,0.44001708694726116,0.11996582610547768,True,-0.4396964001174073,True
M1_LITERATURE_PRIOR,GI-DAE,GI-DAE,GIDAE_PAIR_01,GIDAE_T01,GIDAE_T02,1,-1,0.39181331340533504,0.608186686594665,0.21637337318932992,False,-0.4396964001174073,True
M1_LITERATURE_PRIOR,GI-DAE,GI-DAE,GIDAE_PAIR_02,GIDAE_T01,GIDAE_T03,-1,-1,0.27268943586609873,0.7273105641339013,0.45462112826780254,True,-0.9810200221248018,True
M1_LITERATURE_PRIOR,GI-DAE,GI-DAE,GIDAE_PAIR_03,GIDAE_T01,GIDAE_T04,1,-1,0.19454929575397722,0.8054507042460228,0.6109014084920456,False,-1.420716422242209,True
M1_LITERATURE_PRIOR,GI-DAE,GI-DAE,GIDAE_PAIR_04,GIDAE_T02,GIDAE_T03,-1,-1,0.36787972780670253,0.6321202721932975,0.26424054438659494,True,-0.5413236220073945,True
M1_LITERATURE_PRIOR,GI-DAE,GI-DAE,GIDAE_PAIR_05,GIDAE_T02,GIDAE_T04,1,-1,0.27268943586609873,0.7273105641339013,0.45462112826780254,False,-0.9810200221248018,True
M1_LITERATURE_PRIOR,GI-DAE,GI-DAE,GIDAE_PAIR_06,GIDAE_T03,GIDAE_T04,1,-1,0.39181331340533504,0.608186686594665,0.21637337318932992,False,-0.4396964001174073,True
M2_PRIOR_PLUS_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_01,GIDAE_T01,GIDAE_T02,1,-1,0.41989788647536774,0.5801021135246323,0.1602042270492645,False,-0.4396964001174073,True
M2_PRIOR_PLUS_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_02,GIDAE_T01,GIDAE_T03,-1,-1,0.23284784737855396,0.767152152621446,0.5343043052428921,True,-0.9810200221248018,True
