model,system,construct,predicted_win_probability,predicted_rank,observed_rank,observed_rank_score,is_predicted_top1,top1_correct,is_predicted_top2,top2_set_correct
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T03,0.6964895461188322,1,2,3.0,True,False,True,False
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T02,0.5743568293980816,2,3,2.0,False,False,True,False
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T01,0.5547223394102471,3,1,4.0,False,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T04,0.17443128507283903,4,4,1.0,False,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T03,0.7478884514863829,1,1,4.0,True,True,True,False
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T04,0.6853699800041541,2,4,1.0,False,False,True,False
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T02,0.3948757896751219,3,3,2.0,False,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T01,0.17186577883434115,4,2,3.0,False,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T01,0.6705696251602821,1,2,3.0,True,False,True,False
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T02,0.4956317673514182,2,3,2.0,False,False,True,False
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T03,0.44735227831820956,3,1,4.0,False,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T04,0.3864463291700903,4,4,1.0,False,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T02,0.8916740415331295,1,1,4.0,True,True,True,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T01,0.75993444980123,2,2,3.0,False,False,True,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T03,0.3241923155085485,3,3,2.0,False,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T04,0.024199193157091996,4,4,1.0,False,False,False,False
M1_LITERATURE_PRIOR,D-PA,DPA_T04,0.713649318324863,1,4,1.0,True,False,True,False
M1_LITERATURE_PRIOR,D-PA,DPA_T03,0.5837480499108446,2,2,3.0,False,False,True,False
M1_LITERATURE_PRIOR,D-PA,DPA_T02,0.41625195008915544,3,3,2.0,False,False,False,False
M1_LITERATURE_PRIOR,D-PA,DPA_T01,0.28635068167513694,4,1,4.0,False,False,False,False
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T04,0.713649318324863,1,4,1.0,True,False,True,False
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T03,0.5837480499108446,2,1,4.0,False,False,True,False
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T02,0.41625195008915544,3,3,2.0,False,False,False,False
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T01,0.28635068167513694,4,2,3.0,False,False,False,False
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T04,0.713649318324863,1,4,1.0,True,False,True,False
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T03,0.5837480499108446,2,1,4.0,False,False,True,False
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T02,0.41625195008915544,3,3,2.0,False,False,False,False
