model,pair_accuracy,rho,tau,Top1,Top2,regret,scope
TrueFit Ridge V1,0.6666666666666666,0.2182820625,0.1677050983,NA,NA,NA,frozen V1
TrueFit Pairwise-delta V1,0.6666666666666666,0.3274230938,0.2608745974,NA,NA,NA,frozen V1
TrueFit RankReg V1,0.7083333333333334,0.29104275,0.2422406976,NA,NA,NA,frozen V1
B-line Architecture ElasticNet,0.3188405797,0.0249382477,0.0204816601,0.4285714286,NA,NA,frozen historical architecture baseline
M0_GLOBAL_PSCI_PAIRWISE,0.7083333333333334,0.5335783750799326,0.42857969568745974,0.5,0.25,0.5,Pairwise V2 strict Internal16 LOSO
M1_LITERATURE_PRIOR,0.25,-0.6000000000000001,-0.5104166666666667,0.0,0.0,3.0,Pairwise V2 strict Internal16 LOSO
M2_PRIOR_PLUS_PSCI,0.7916666666666666,0.6548461875980991,0.521749194749951,0.75,0.5,0.25,Pairwise V2 strict Internal16 LOSO
M3_SYSTEM_CONDITIONED_PSCI,0.5,0.06063390625908324,0.05590169943749475,0.0,0.25,1.75,Pairwise V2 strict Internal16 LOSO
