model,pair_N,system_N,pair_accuracy,rho,tau,Top1,Top2,regret,mean_pair_margin
M0_GLOBAL_PSCI_PAIRWISE,24,4,0.7083333333333334,0.5335783750799326,0.42857969568745974,0.5,0.25,0.5,0.5034164963994051
M1_LITERATURE_PRIOR,24,4,0.25,-0.6000000000000001,-0.5104166666666667,0.0,0.0,3.0,0.3695218259654842
M2_PRIOR_PLUS_PSCI,24,4,0.7916666666666666,0.6548461875980991,0.521749194749951,0.75,0.5,0.25,0.6081762718809317
M3_SYSTEM_CONDITIONED_PSCI,24,4,0.5,0.06063390625908324,0.05590169943749475,0.0,0.25,1.75,0.8105140223913904
