stage,step,purpose
1,inspect native context,terminal accessibility and native assembly constraints
2,enumerate reciprocal topologies,T01-T04 controlled architecture grammar
3,generate structural/MD models,matched dynamic sampling
4,calculate PSCI,topology-level compatibility representation
5,form literature-prior + delta PSCI pairs,antisymmetric pairwise input
6,PSCI-PairRank,within-system topology probability/ranking
7,Top1/Top2 experimental shortlist,actionable construction prioritization
